Lat,Lon,Importancia,Acidente,Teatro_Maritimo,Lat_original,Lon_original
35.5,-28.533333333333335,5.0,0,Açores,35.5,-28.533333333333335
40.96783333333333,-8.867833333333333,8.0,1,Continente,40.96783333333333,-8.867833333333333
40.645,-8.772,5.0,0,Continente,40.675,-8.058333333333334
41.0,-9.3,8.0,1,Continente,41.0,-9.3
40.636833333333335,-9.034666666666666,5.0,0,Continente,40.636833333333335,-9.034666666666666
41.56766666666667,-9.087,8.0,1,Continente,41.56766666666667,-9.087
41.56766666666667,-9.087,8.0,1,Continente,41.56766666666667,-9.087
32.643033333333335,-16.904583333333335,10.0,1,Madeira,32.643033333333335,-16.904583333333335
37.01951105008814,-8.808969014185845,5.0,0,Continente,37.056,-8.8095
41.68481615810437,-8.868193889376448,5.0,0,Continente,41.688833333333335,-8.819666666666667
41.03366666666667,-8.914166666666667,10.0,1,Continente,41.03366666666667,-8.914166666666667
38.03108277409407,-8.970126132613723,8.0,1,Continente,38.13616666666667,-8.792
38.03108277409407,-8.970126132613723,8.0,1,Continente,38.13616666666667,-8.792
40.166666666666664,-9.0,5.0,0,Continente,40.166666666666664,-9.0
40.6405,-8.788333333333334,8.0,1,Continente,40.6405,-8.788333333333334
39.3309,-9.4146,5.0,0,Continente,39.3309,-9.4146
39.34208815245743,-9.444509494153161,5.0,0,Continente,39.341166666666666,-9.403666666666666
36.96961666666667,-7.866266666666666,10.0,1,Continente,36.96961666666667,-7.866266666666666
40.7199218934615,-8.78152046160008,8.0,1,Continente,40.722,-8.730166666666667
40.0,-9.0,10.0,1,Continente,40.0,-9.0
40.62696666666667,-8.792366666666666,5.0,0,Continente,40.62696666666667,-8.792366666666666
41.73383333333334,-9.0025,10.0,1,Continente,41.73383333333334,-9.0025
41.16623333333333,-9.128633333333333,5.0,0,Continente,41.16623333333333,-9.128633333333333
37.297654561655804,-8.980431921010089,10.0,1,Continente,37.29066666666667,-8.872666666666667
36.967,-11.4505,8.0,1,Continente,36.967,-11.4505
38.559266666666666,-28.448183333333333,8.0,1,Açores,38.559266666666666,-28.448183333333333
37.720333333333336,-9.155833333333334,5.0,1,Continente,37.720333333333336,-9.155833333333334
37.720333333333336,-9.155833333333334,5.0,1,Continente,37.720333333333336,-9.155833333333334
41.08468333333333,-8.774033333333334,8.0,1,Continente,41.08468333333333,-8.774033333333334
37.500166666666665,-9.7845,8.0,1,Continente,37.500166666666665,-9.7845
40.78,-9.195,5.0,1,Continente,40.78,-9.195
40.78,-9.195,5.0,1,Continente,40.78,-9.195
39.35883333333334,-9.554333333333334,5.0,0,Continente,39.35883333333334,-9.554333333333334
37.05915477531746,-8.476077366278096,10.0,1,Continente,37.092166666666664,-8.476166666666666
41.647216666666665,-8.860466666666667,5.0,0,Continente,41.647216666666665,-8.860466666666667
39.4419,-9.357883333333334,5.0,0,Continente,39.4419,-9.357883333333334
32.72725,-16.653616666666668,5.0,0,Madeira,32.72725,-16.653616666666668
38.601166666666664,-9.4005,10.0,1,Continente,38.601166666666664,-9.4005
38.24583333333333,-9.462333333333333,5.0,0,Continente,38.24583333333333,-9.462333333333333
38.808166666666665,-27.101166666666668,8.0,1,Açores,38.808166666666665,-27.101166666666668
40.61666666666667,-8.766666666666667,5.0,0,Continente,40.61666666666667,-8.766666666666667
40.525,-9.079166666666667,10.0,1,Continente,40.525,-9.079166666666667
36.75416666666667,-7.942833333333334,8.0,1,Continente,36.75416666666667,-7.942833333333334
36.75416666666667,-7.942833333333334,8.0,1,Continente,36.75416666666667,-7.942833333333334
