Lat,Lon,Importancia,Acidente,Distancia_Costa_NM,Zona_Patrulha
40.96783333333333,-8.867833333333333,8.0,1,4.062877467551801,1
41.0,-9.3,8.0,1,23.429368524667847,2
40.636833333333335,-9.034666666666666,5.0,0,13.325370786309518,2
41.56766666666667,-9.087,8.0,1,12.810671425850728,2
41.56766666666667,-9.087,8.0,1,12.810671425850728,2
32.643033333333335,-16.904583333333335,10.0,1,470.8141705076753,6
41.03366666666667,-8.914166666666667,10.0,1,6.153670823023093,1
40.166666666666664,-9.0,5.0,0,6.0914540690427765,1
40.6405,-8.788333333333334,8.0,1,2.259419048457227,1
39.3309,-9.4146,5.0,0,0.15381600917501714,1
36.96961666666667,-7.866266666666666,10.0,1,3.9819279885774543,1
40.0,-9.0,10.0,1,3.390256255391924,1
40.62696666666667,-8.792366666666666,5.0,0,2.277399498082407,1
41.73383333333334,-9.0025,10.0,1,7.395999922154424,1
41.16623333333333,-9.128633333333333,5.0,0,18.33155432710758,2
38.559266666666666,-28.448183333333333,8.0,1,886.8347724708427,6
37.720333333333336,-9.155833333333334,5.0,1,16.04737040024775,2
37.720333333333336,-9.155833333333334,5.0,1,16.04737040024775,2
41.08468333333333,-8.774033333333334,8.0,1,1.3089450658349602,1
37.500166666666665,-9.7845,8.0,1,40.837794377358314,3
40.78,-9.195,5.0,1,19.99181229100621,2
40.78,-9.195,5.0,1,19.99181229100621,2
39.35883333333334,-9.554333333333334,5.0,0,6.818164596596576,1
41.647216666666665,-8.860466666666667,5.0,0,1.7052426568182901,1
39.4419,-9.357883333333334,5.0,0,2.1998784284548782,1
32.72725,-16.653616666666668,5.0,0,457.5984663058005,6
38.601166666666664,-9.4005,10.0,1,2.0192822865715487,1
38.24583333333333,-9.462333333333333,5.0,0,15.472875028066406,2
38.808166666666665,-27.101166666666668,8.0,1,822.4697088956332,6
40.61666666666667,-8.766666666666667,5.0,0,0.9937307818529858,1
40.525,-9.079166666666667,10.0,1,13.99547398737152,2
36.75416666666667,-7.942833333333334,8.0,1,15.852657698496909,2
